Date,INFL,UNRATE,TB3MS
1966-07-01,3.85069890928165,3.76666666666667,5.04333333333333
1966-10-01,3.3276319780537,3.7,5.21
1967-01-01,1.66503102184841,3.83333333333333,4.51333333333333
1967-04-01,2.0256704395397,3.83333333333333,3.66
1967-07-01,3.81619050421644,3.8,4.3
1967-10-01,4.43293013733275,3.9,4.75333333333333
1968-01-01,4.40658727504211,3.73333333333333,5.05
1968-04-01,4.20450872696758,3.56666666666667,5.52
1968-07-01,3.89926417435866,3.53333333333333,5.19666666666667
1968-10-01,5.60660746939696,3.4,5.58666666666667
1969-01-01,4.10610962383782,3.4,6.09333333333333
1969-04-01,5.05305485585446,3.43333333333333,6.19666666666667
1969-07-01,5.59128699125608,3.56666666666667,7.02333333333333
1969-10-01,5.12576810508776,3.56666666666667,7.35333333333333
1970-01-01,5.60586000659615,4.16666666666667,7.21
1970-04-01,5.52838043897577,4.76666666666667,6.67666666666667
1970-07-01,3.26888226229123,5.16666666666667,6.32666666666667
1970-10-01,5.2531749283915,5.83333333333333,5.35333333333333
1971-01-01,6.02997359176918,5.93333333333333,3.84
1971-04-01,5.22160821265558,5.9,4.25
1971-07-01,4.05004755051017,6.03333333333333,5.01
1971-10-01,3.32230923968417,5.93333333333333,4.23
1972-01-01,6.05065955112813,5.76666666666667,3.43666666666667
1972-04-01,2.482212747414,5.7,3.77
1972-07-01,3.80282641537324,5.56666666666667,4.22
1972-10-01,5.06823283372739,5.36666666666667,4.86333333333333
1973-01-01,4.58280287682182,4.93333333333333,5.7
1973-04-01,6.11072073519026,4.93333333333333,6.60333333333333
1973-07-01,7.704920664154,4.8,8.32333333333333
1973-10-01,7.89272330966444,4.76666666666667,7.5
1974-01-01,7.47839615460286,5.13333333333333,7.61666666666667
1974-04-01,9.34334890725363,5.2,8.15333333333333
1974-07-01,11.5589493270571,5.63333333333333,8.19
1974-10-01,11.5963452494082,6.6,7.36
1975-01-01,8.99081777910773,8.26666666666667,5.75
1975-04-01,5.89806343086696,8.86666666666667,5.39333333333333
1975-07-01,6.99902649210955,8.46666666666667,6.33
1975-10-01,6.64003779887796,8.3,5.62666666666667
1976-01-01,4.20416950504858,7.73333333333333,4.91666666666667
1976-04-01,4.00915777619293,7.56666666666667,5.15666666666667
1976-07-01,5.13896431802809,7.73333333333333,5.15
1976-10-01,7.106751762241,7.76666666666667,4.67333333333333
1977-01-01,6.37917172848184,7.5,4.63
1977-04-01,5.60634992499409,7.13333333333333,4.84
1977-07-01,4.83871679142851,6.9,5.49666666666667
1977-10-01,8.55485168393688,6.66666666666667,6.11
1978-01-01,5.76783666023477,6.33333333333333,6.39333333333333
1978-04-01,7.57945723983031,6,6.47666666666667
1978-07-01,6.73657157214915,6.03333333333333,7.31333333333333
1978-10-01,8.09799135744065,5.9,8.57
1979-01-01,7.22740561832591,5.86666666666667,9.38333333333333
1979-04-01,9.68021995487298,5.7,9.37666666666667
1979-07-01,8.65317285425569,5.86666666666667,9.67333333333333
1979-10-01,7.35378629335379,5.96666666666667,11.8433333333333
1980-01-01,8.31723663683608,6.3,13.3533333333333
1980-04-01,9.40412075971544,7.33333333333333,9.61666666666667
1980-07-01,8.83626216736637,7.66666666666667,9.15333333333333
1980-10-01,10.285486772162,7.4,13.6133333333333
1981-01-01,10.4002472752233,7.43333333333333,14.39
