,PCECTPI,OILPRICEx,FEDFUNDS ,GS10,GS10TB3Mx,AAAFFM,M2REAL,TOTALSLx ,UMCSENTx ,CUMFNS ,GDPC1,PCECC96 ,INDPRO,UNRATE ,PAYEMS ,HOUST
3/1/1982,5.05235191,-54.24330888,14.2267,14.2933,1.48,0.7833,5.409316339,-0.493700517,66.5,72.5692,-6.263360731,2.935602729,-8.264292618,8.8333,-2.765475008,3.041855021
6/1/1982,3.828906483,37.13476179,14.5133,13.93,1.51,-0.0033,2.730323598,-0.923515682,66.2,71.7596,1.820559177,1.216612676,-4.948213968,9.4333,-2.126706185,29.77303791
9/1/1982,6.26569987,-9.081780529,11.0067,13.1167,3.8,2.7467,-0.359677379,-3.354982598,66.7,70.7371,-1.531997371,2.672467207,-5.703966606,9.9,-3.054703811,66.21532258
12/1/1982,4.392353184,-13.99222077,9.2867,10.6667,2.76,2.59,7.659227723,-1.411306522,72.5,68.9799,0.160003146,6.946048527,-7.544816684,10.6667,-2.399119984,54.72149616
3/1/1983,3.293350045,-58.18911325,8.6533,10.5633,2.46,3.19,21.19093829,0.997497394,75.3,70.3158,5.23673235,3.935397789,4.48337577,10.3667,0.799309082,95.93728093
6/1/1983,3.637333455,8.65494391,8.8033,10.5433,2.15,2.7667,5.573799139,4.817970843,91.5,72.2438,9.000065818,8.063232484,8.872096729,10.1333,3.032703092,7.293557161
9/1/1983,5.224578055,7.172758646,9.46,11.6267,2.49,2.8833,2.388175925,6.4259457,91.2,74.7179,7.916951323,7.109261667,13.42889641,9.3667,4.118059752,32.67752623
12/1/1983,2.629189119,-25.74499866,9.43,11.6867,2.89,2.98,3.223943655,12.46377276,91.5,76.7846,8.25887931,6.324105448,10.33071942,8.5333,5.570766684,-16.39048897
3/1/1984,4.304913961,0.868899728,9.6867,11.9433,2.77,2.5967,2.900407014,14.03482345,99.5,78.8051,7.74371884,3.305866306,11.61414682,7.8667,5.239368022,45.98080583
6/1/1984,3.853425971,-2.390084858,10.5567,13.2,3.4,2.6567,4.77522326,14.18998165,96.6,79.5406,6.85202204,5.564993474,6.164070336,7.4333,4.430023986,-24.95492984
9/1/1984,3.077604679,-20.75657163,11.39,12.8667,2.55,1.6,1.780793859,14.00431877,98.9,79.617,3.837572472,2.955509332,2.729550788,7.4333,3.941293556,-34.51205353
12/1/1984,2.45821816,-26.46690749,9.2667,11.7433,2.94,3.0833,5.338379282,11.0626198,95,79.4522,3.269691688,5.148093835,0.195358406,7.3,3.565149464,-10.09441689
3/1/1985,4.693993568,-11.11477759,8.4767,11.5833,3.4,3.78,8.195847961,11.46803935,94.5,78.8097,3.857258926,6.738673171,1.342890709,7.2333,2.769500132,20.09591449
6/1/1985,3.224494539,8.386542417,7.9233,10.8133,3.35,3.7067,3.396875654,13.27191369,94.3,78.3014,3.50648003,3.655528067,0.282371198,7.3,2.877957958,2.635683955
9/1/1985,3.127197277,-5.078745432,7.9,10.3367,3.23,3.13,5.926034314,9.296075231,92.8,77.7917,6.06290415,7.526712744,-0.57080037,7.2,2.35623589,-5.758862062
12/1/1985,2.779521207,16.87065175,8.1033,9.76,2.59,2.4733,1.797755835,10.70025218,91.1,77.7978,2.962796731,0.865435154,2.256485146,7.0333,2.380369039,28.07241072
3/1/1986,2.82303231,-220.3462179,7.8267,8.5567,1.66,1.7467,3.815386617,6.174176082,95.5,78.3806,3.717660621,3.481679435,2.398759895,7.0333,1.66002854,15.90182511
6/1/1986,-0.423363426,-82.9573294,6.92,7.6033,1.46,2.0833,12.37692998,7.149506421,96.8,78.136,1.797142218,4.334714285,-2.37327377,7.1667,1.361532667,-4.377808885
9/1/1986,2.112350395,-4.538539761,6.2067,7.3067,1.78,2.6233,7.417735731,6.650740333,94.8,78.2937,3.808483781,7.011829145,1.604536706,6.9667,1.972782602,-26.26056626
